CODMUNRES,municipio,uf,REG,deaths_total,live_births,nmr,idhm,expA,SMR_A,SMR_A_lo,SMR_A_hi,SMR_A_eb,expB,SMR_B,sig_excess,sig_deficit,excess_deaths,illdef_share,exp_prenatal,exp_delivery,exp_newborn,exp_malformation
110001,Alta Floresta D'Oeste,RO,North,26,3903,6.661542403279528,0.641,34.74210767689976,0.7483714068760302,0.488737066897006,1.096581200708793,0.9269277089851902,35.32790799267413,0.7359620616480196,False,False,0.0,0.10344827586206896,8.296102413608242,2.5978104805418267,14.155435096611175,7.177256422174787
110002,Ariquemes,RO,North,157,17663,8.88863726433788,0.702,148.39770531920507,1.0579678416340152,0.898940431478913,1.2370164228232812,1.036873505474547,145.6534854175454,1.0779007419556594,False,False,8.602294680794927,0.042682926829268296,39.442519280760614,10.422451863386213,57.360376664362036,31.939905177258396
110003,Cabixi,RO,North,11,801,13.732833957553058,0.65,6.850771279519523,1.6056586260418086,0.800448588012923,2.873141769774993,1.045225622160584,7.632728645051501,1.4411621992000971,False,False,4.149228720480477,0.08333333333333333,1.5800083858290246,0.5131231990112585,2.821419980865903,1.482232174280651
110004,Cacoal,RO,North,116,14922,7.773756869052406,0.718,122.40765216574214,0.9476531732095795,0.7830500365366772,1.1366285999917243,0.969090249475661,123.67169149977272,0.9379672792800217,False,False,0.0,0.04918032786885246,32.747994788292786,8.423589103385316,47.04864059621351,26.990921006720356
110005,Cerejeiras,RO,North,21,2876,7.301808066759388,0.692,23.814053943495708,0.8818322176403608,0.5456608327619632,1.3480376066175956,0.9741137328617231,26.13769665499755,0.803437283598009,False,False,0.0,0.045454545454545456,5.895331628113958,1.7133933916334643,9.477685272249488,5.263137060087596
110006,Colorado do Oeste,RO,North,21,2444,8.592471358428805,0.685,20.64343610472405,1.0172725070316349,0.6294686814891509,1.5550822120405616,1.0033785435361153,22.691349909618197,0.925462790166517,False,False,0.35656389527595067,0.045454545454545456,5.04799644235186,1.514191755688387,8.278875683339377,4.476795340733413
110007,Corumbiara,RO,North,15,1253,11.971268954509178,0.613,11.450031316708682,1.3100400850529514,0.7326848093212307,2.1608352554979264,1.0368466726558334,12.27813109291657,1.2216843008504539,False,False,3.5499686832913184,0.0625,2.5379167051692506,0.8594366595699343,4.828508712277526,2.3399888364157873
110008,Costa Marques,RO,North,32,2442,13.104013104013104,0.611,22.77952338252396,1.4047703923669372,0.9606960424860855,1.9831823938254989,1.0856333956458841,24.69327403055769,1.295899440487329,False,False,9.220476617476042,0.21951219512195122,5.2301909569915965,1.8373000908256627,9.49736756264965,4.496403747100668
110009,Espigão D'Oeste,RO,North,45,5270,8.538899430740038,0.672,45.488653989730764,0.9892576731366666,0.7215041689397231,1.3237358418263705,0.9962521640354802,46.35889164914936,0.9706875725279706,False,False,0.0,0.1,11.114939820642272,3.1560080197034566,18.26822661213578,9.713009765460749
110010,Guajará-Mirim,RO,North,105,9040,11.615044247787612,0.657,81.42536230819488,1.2895245046939448,1.0546807856219302,1.5610618564920467,1.1417429237370629,88.20733543248004,1.190377188985311,True,False,23.574637691805123,0.045454545454545456,19.85431892168179,6.0729239561697845,32.920803768752016,16.560107025407852
