municipio,uf,REG,deaths_total,expA,SMR_A_eb,SMR_A,SMR_A_lo,SMR_A_hi,leading_cause
Caracaraí,RR,North,156,40.83169833821287,1.9160260180752984,3.8205611411956726,3.2445152726571957,4.469377354370227,newborn
Barcelos,AM,North,162,58.85422127743861,1.7175431458006893,2.752563817577885,2.344989543890649,3.2106004772422216,newborn
Itabuna,BA,Northeast,438,246.45700611678907,1.5780661799967741,1.777186239909301,1.614623970056864,1.9516801366786964,newborn
Ilhéus,BA,Northeast,388,222.83904821914228,1.5367014765914049,1.7411670131459038,1.572202102603515,1.923340979130736,newborn
Aracaju,SE,Northeast,1140,726.4575484927252,1.5096955696262366,1.5692589365549363,1.4794748879718596,1.6630668149805488,prenatal
Itaituba,PA,North,393,235.41804285327973,1.4919633977602809,1.6693707722518556,1.5083806221265368,1.8428628661978002,newborn
Macapá,AP,North,1225,803.1820856472922,1.4749793067974752,1.525183419663501,1.4409594344354664,1.6130455957602645,prenatal
Eirunepé,AM,North,162,88.55697735557114,1.4234215876177505,1.8293307296334516,1.5584603001441277,2.1337380358226103,newborn
Parintins,AM,North,323,203.44380072209464,1.4146388969062227,1.5876620415739273,1.4192158927287952,1.7705994365422568,newborn
Corumbá,MS,Central-West,276,170.30615648356823,1.4141600595967534,1.6206108205291423,1.4350322729195333,1.8235257718329356,prenatal
Alenquer,PA,North,213,131.29499800848572,1.3779326549846496,1.6223009500044594,1.4117267034289935,1.8554229989033768,newborn
Itapetinga,BA,Northeast,161,95.04041564387785,1.3665750530853005,1.6940161604856263,1.442435625441617,1.976848183431043,newborn
